x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : 3.879462  y : 0.882048  deg : 0.667530
x : 3.969445  y : 0.891482  deg : 0.028053
x : 4.034699  y : 1.131730  deg : -2.179191
x : 4.016087  y : 1.102641  deg : -2.970670
x : 3.896999  y : 0.550602  deg : 4.356864
x : -nan  y : -nan  deg : -nan
x : 4.011905  y : 0.976557  deg : -3.509171
x : 3.922655  y : 0.575893  deg : 2.210605
x : -nan  y : -nan  deg : -nan
x : 3.950671  y : 0.642477  deg : 1.984450
x : 3.950896  y : 0.625958  deg : 2.462115
x : 4.152969  y : 0.845038  deg : -2.638828
x : 4.119313  y : 0.708447  deg : 3.154172
x : 4.162633  y : 0.650663  deg : 2.376474
x : 4.311913  y : 1.102307  deg : -2.890520
x : 4.287279  y : 0.714585  deg : 3.355546
x : 4.341333  y : 0.770125  deg : 4.863151
x : 4.411750  y : 0.752024  deg : 3.413298
x : 4.439505  y : 0.751124  deg : 3.587517
x : -nan  y : -nan  deg : -nan
x : 4.538979  y : 0.803316  deg : 4.182812
x : 4.655687  y : 1.202379  deg : -1.525004
x : 4.645312  y : 0.853141  deg : 5.231408
x : 4.773422  y : 0.929723  deg : 1.175919
x : -nan  y : -nan  deg : -nan
x : 4.739798  y : 0.909187  deg : 4.417568
x : -nan  y : -nan  deg : -nan
x : 4.814076  y : 0.934181  deg : 6.157730
x : -nan  y : -nan  deg : -nan
x : 4.903309  y : 0.971706  deg : 4.328737
x : 4.924053  y : 0.999524  deg : 4.248510
x : 4.947845  y : 0.974886  deg : 3.786054
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : 5.300233  y : 1.406952  deg : -1.525736
x : 5.356988  y : 1.079222  deg : -6.461684
x : 5.209247  y : 1.164464  deg : 2.601278
x : 5.455028  y : 1.096317  deg : -5.805298
x : 5.447190  y : 1.111318  deg : -7.024992
x : 5.419478  y : 1.102772  deg : -6.639179
x : 5.549144  y : 1.105075  deg : -6.020296
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : 5.783826  y : 1.079038  deg : -2.711089
x : -nan  y : -nan  deg : -nan
x : 5.839470  y : 1.398787  deg : 10.079864
x : 6.133767  y : 1.471608  deg : 8.492641
x : 5.885420  y : 1.034188  deg : -2.812101
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : 5.738948  y : 1.141260  deg : 4.717755
x : 5.901884  y : 1.061643  deg : -4.339340
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : 6.004463  y : 1.064292  deg : -3.572618
x : 6.023382  y : 1.058761  deg : -2.425399
x : 6.292830  y : 1.423928  deg : 7.918952
x : 5.924278  y : 1.124216  deg : 3.059915
x : 6.076371  y : 1.144943  deg : -0.761090
x : 6.027580  y : 1.124449  deg : -0.186867
x : 6.034725  y : 1.036943  deg : -5.817582
x : 5.983046  y : 1.045622  deg : -4.652964
x : 5.961178  y : 1.058009  deg : -3.926227
x : 5.982269  y : 0.982999  deg : -4.974437
x : 6.261815  y : 1.444945  deg : 6.013418
