7.990824 0.066800 -0.428391
7.989736 0.067958 -0.411374
7.991780 0.068200 -0.127217
7.987656 0.067388 0.880127
7.993934 0.067745 0.367071
7.988738 0.066573 0.851219
7.988440 0.067488 -0.530018
7.988988 0.066450 0.909348
7.989019 0.066565 0.867499
7.990653 0.066404 -0.488151
7.991524 0.065973 -0.429143
7.990193 0.065908 -0.536613
7.989145 0.065920 0.850810
7.994294 0.066281 0.420262
7.990015 0.066667 1.017863
7.990638 0.067564 -0.361358
7.990002 0.066836 -0.492609
7.991252 0.066325 -0.486364
7.994560 0.066407 0.433178
7.992141 0.066587 1.231643
7.992139 0.066375 1.253802
7.990047 0.066188 -0.448356
7.989070 0.067123 -0.501656
7.989298 0.067523 -0.494250
7.990226 0.067165 -0.469902
7.987869 0.066837 0.787110
7.989272 0.066698 0.887350
7.993746 0.067799 0.269829
7.990567 0.067916 -0.342344
7.994920 0.068124 1.014796
7.989501 0.067934 1.035418
7.989843 0.066572 0.925227
7.993762 0.067721 0.262644
7.991789 0.067148 1.221992
7.994113 0.067053 0.267704
7.994354 0.068058 0.492674
7.988790 0.066480 0.821631
7.993170 0.066247 -0.113550
7.991294 0.067127 -0.360387
7.989297 0.067620 -0.506078
7.993104 0.067829 0.055023
7.992919 0.067508 1.487778
7.991826 0.066721 -0.265420
7.988544 0.067469 0.886529
7.993719 0.067972 1.779079
7.990661 0.067627 -0.387491
7.991319 0.067039 -0.371354
7.991487 0.067560 1.181516
7.991898 0.066662 -0.320461
7.991659 0.067587 -0.214428
7.989359 0.067318 -0.517379
7.991779 0.067245 -0.279608
7.989087 0.067220 -0.528304
7.990778 0.067268 -0.444082
7.990680 0.067554 -0.394891
7.989973 0.067443 -0.543368
7.988916 0.068177 0.984064
7.991101 0.066817 -0.413352
7.991493 0.066068 -0.413216
7.990786 0.068115 -0.296049
7.990183 0.067684 -0.497346
7.990007 0.066627 -0.470450
7.988956 0.066802 0.887234
7.990231 0.065995 0.919770
7.991297 0.067230 1.126320
7.989739 0.068194 -0.443348
7.990876 0.068183 1.122080
7.989004 0.066702 0.861255
7.990732 0.068226 -0.263918
7.990700 0.067679 -0.426009
7.993064 0.067513 0.115809
7.991104 0.066808 1.085007
7.987406 0.067346 0.842629
7.990858 0.067514 -0.288949
7.990770 0.067365 -0.447930
7.991111 0.067696 -0.269076
7.989571 0.067820 -0.507602
7.990663 0.068443 -0.231919
7.993643 0.067010 0.169529
7.992005 0.067493 1.255389
7.990413 0.067618 1.069804
7.990296 0.067885 -0.364586
7.989365 0.066125 0.886870
7.990008 0.067848 -0.372385
7.990253 0.066941 -0.465334
7.991492 0.067206 1.215075
7.990086 0.067524 -0.397177
7.991255 0.067200 -0.335726
7.992693 0.067170 -0.041493
7.991006 0.067194 -0.376515
7.988232 0.067641 0.869533
7.991016 0.066887 -0.350180
7.990723 0.067421 -0.415145
7.988705 0.067470 1.003210
7.990574 0.067510 -0.301920
7.989262 0.066660 0.900975
7.989032 0.067496 0.979545
7.987969 0.067373 0.874880
7.988476 0.067358 0.958794
7.993397 0.067545 0.083477
7.989845 0.067887 -0.492150
7.992007 0.067355 -0.232745
7.989478 0.066838 0.946058
7.989596 0.066377 0.908106
7.987903 0.066557 0.801708
7.989946 0.067297 0.996858
7.990849 0.066770 -0.445837
7.991498 0.067129 -0.281718
7.991965 0.067282 -0.190139
7.990297 0.066837 -0.489768
7.991972 0.067199 -0.187120
7.990357 0.066459 1.005565
7.990532 0.067144 1.026250
7.989746 0.067894 -0.411434
7.987902 0.066418 0.822952
7.991742 0.067175 -0.241624
7.990545 0.067889 -0.321658
7.991212 0.067509 -0.332829
7.991288 0.066972 -0.338214
7.989070 0.067302 -0.525787
7.990273 0.066877 -0.474380
7.992467 0.067274 -0.110868
7.991427 0.066117 -0.361923
7.990946 0.065994 -0.687908
7.989288 0.066336 -0.577238
7.990036 0.066609 -0.492015
7.989428 0.066516 -0.468823
7.994271 0.066263 0.441779
7.989926 0.065804 -0.546311
7.990272 0.067526 -0.302022
7.990863 0.066486 -0.424687
7.989861 0.065835 -0.494525
7.986461 0.068034 -0.494899
7.988981 0.067538 1.016223
7.990335 0.067358 -0.334594
7.993292 0.066444 0.015147
7.988659 0.066336 0.951994
7.993610 0.066783 0.215371
7.992612 0.066021 -0.114984
7.993888 0.066064 0.035701
7.991362 0.066509 1.150321
7.992036 0.066899 -0.211031
7.990559 0.066778 1.047378
7.992551 0.066631 1.378558
7.992772 0.066438 1.458925
7.990325 0.066260 -0.692709
7.994523 0.067010 0.672943
7.993091 0.065967 -0.020590
7.988986 0.067548 -0.488714
7.990281 0.066901 1.016080
7.993044 0.066352 -0.015418
7.989201 0.066643 0.954710
7.993414 0.065990 -0.050711
7.992674 0.067284 -0.035644
7.988554 0.066953 -0.549027
7.993225 0.065889 -0.129395
7.991371 0.067495 -0.214602
7.992703 0.066917 -0.026452
7.991459 0.067292 -0.266133
7.991159 0.066255 1.100365
7.990398 0.067051 1.149592
7.992440 0.067248 -0.085497
7.993725 0.066172 0.166911
7.993723 0.066432 0.147588
7.992386 0.066375 -0.206307
7.993067 0.066138 -0.016028
7.993166 0.067132 -0.187047
7.991535 0.067063 -0.305784
7.989906 0.065840 0.965860
7.990524 0.066881 -0.436191
7.992541 0.066650 -0.114763
7.992530 0.066303 -0.071664
7.988662 0.066470 -0.569950
7.991943 0.066114 -0.301809
7.994632 0.066622 0.606287
7.991002 0.065902 1.025231
7.989723 0.066745 1.003667
7.993955 0.066951 0.409477
7.991826 0.066494 -0.242014
7.991646 0.066369 -0.575359
7.992424 0.067527 -0.098628
7.992247 0.067029 -0.151902
7.993709 0.066597 0.146220
7.992106 0.066441 -0.224613
7.992754 0.066696 -0.049605
7.989398 0.067055 0.984458
7.991062 0.067557 -0.213324
7.992945 0.065707 -0.121702
7.992968 0.067021 -0.010143
7.993642 0.066420 -0.032186
7.988237 0.067106 -0.557588
7.992627 0.067520 -0.018536
7.993024 0.065948 1.288083
7.992193 0.067362 -0.138903
7.993216 0.066730 0.054739
7.993980 0.066754 0.402697
7.992581 0.067634 0.010250
7.992228 0.067045 1.362274
7.993011 0.066663 -0.264563
7.993056 0.066774 -0.063346
7.988382 0.066613 -0.606160
7.992891 0.067301 0.029944
7.993038 0.066300 -0.005535
7.993047 0.067635 0.119754
7.992098 0.066669 -0.240386
7.989709 0.065521 -0.574089
7.993066 0.066464 -0.043904
7.991847 0.067039 1.183622
7.992690 0.066998 -0.023577
7.988824 0.066929 -0.520458
7.991654 0.066311 1.173622
7.992871 0.066390 -0.121187
7.991861 0.066424 -0.263906
7.992071 0.066533 -0.203969
7.991741 0.067094 -0.232822
7.991223 0.066006 1.074571
7.992670 0.067443 -0.047601
7.993214 0.066758 0.054019
7.993700 0.067098 0.364180
7.992239 0.067221 -0.414249
7.992591 0.066549 -0.397648
7.992360 0.066465 -0.192473
7.991167 0.066311 1.087434
